index,breathing_force
1,318153216
2,317424128
3,317235712
4,316146176
5,313901568
6,309010944
7,302932480
8,301490688
9,303710720
10,306954752
11,309076480
12,310149632
13,312345088
14,315597312
15,316170752
16,316064256
17,316834304
18,317514240
19,318235136
20,319717888
21,322093568
22,323731968
23,325173760
24,326345216
25,327213568
26,327737856
27,328565248
28,329245184
29,329392640
30,329073152
31,328434176
32,328835584
33,329343488
34,329417216
35,329433600
36,329253376
37,329425408
38,329605632
39,330531328
40,331842048
41,332366336
42,332554752
43,332390912
44,332186112
45,332169728
46,332833280
47,333455872
48,334684672
49,337289728
50,338534912
51,335110656
52,331284992
53,328049152
54,325050880
55,322290176
56,323871232
57,331907584
58,335249920
59,336224768
60,335282688
61,334438912
62,333595136
63,332972544
64,332161536
65,330547712
66,329302528
67,328901120
68,327811584
69,326754816
70,326107648
71,325419520
72,323928576
73,322372096
74,321028608
75,320365056
76,319971840
77,319398400
78,319185408
79,319185408
80,319783424
81,319341056
82,319791616
83,320733696
84,320979456
85,321454592
86,322109952
87,322634240
88,322888192
89,323092992
90,323273216
91,323527168
92,323863040
93,324190720
94,324116992
95,323928576
96,323781120
97,323322368
98,322847232
99,323101184
100,323273216
101,323052032
102,322920960
103,322560512
104,322200064
105,321929728
106,321856000
107,321757696
108,321659392
109,321782272
110,322175488
111,322347520
112,322068992
113,321593856
114,321184256
115,321094144
116,321061376
117,321200640
118,321233408
119,321176064
120,321069568
121,321020416
122,320897536
123,320815616
124,320791040
125,320823808
126,320930304
127,320799232
128,320782848
129,320668160
130,320602624
131,320528896
132,320487936
133,320487936
134,320455168
135,320455168
136,320471552
137,320463360
138,320397824
139,320381440
140,320381440
141,320438784
142,320496128
143,320446976
144,320422400
145,320348672
146,320324096
147,320291328
148,320307712
149,320332288
150,320365056
151,320414208
152,320463360
153,320463360
154,320496128
155,320537088
156,320602624
157,320651776
158,320545280
159,320537088
160,320471552
161,320389632
162,320332288
163,320365056
164,320332288
165,320332288
166,320332288
167,320365056
168,320356864
169,320365056
170,320430592
171,320487936
172,320561664
173,320528896
174,320569856
175,320520704
176,320479744
177,320406016
178,320422400
179,320455168
180,320455168
181,320463360
182,320496128
183,320512512
184,320537088
185,320594432
186,320619008
187,320684544
188,320668160
189,320676352
190,320619008
191,320528896
192,320471552
193,320422400
194,320446976
195,320422400
196,320438784
197,320479744
198,320504320
199,320578048
200,320619008
201,320635392
202,320676352
203,320643584
204,320668160
205,320627200
206,320537088
207,320463360
208,320463360
209,320504320
210,320496128
211,320487936
212,320528896
213,320520704
214,320545280
215,320553472
216,320561664
217,320594432
218,320537088
219,320528896
220,320455168
221,320373248
222,320307712
223,320307712
224,320340480
225,320307712
226,320299520
227,320324096
228,320340480
229,320340480
230,320381440
231,320422400
232,320463360
233,320397824
234,320438784
235,320356864
236,320299520
237,320250368
238,320266752
239,320315904
240,320307712
241,320332288
242,320365056
243,320373248
244,320406016
245,320446976
246,320504320
247,320512512
248,320471552
249,320438784
250,320348672
251,320283136
252,320258560
253,320315904
254,320307712
255,320315904
256,320340480
257,320348672
258,320381440
259,320414208
260,320455168
261,320496128
262,320414208
263,320446976
264,320324096
265,320258560
266,320201216
267,320299520
268,320307712
269,320332288
270,320332288
271,320356864
272,320381440
273,320422400
274,320446976
275,320520704
276,320463360
277,320479744
278,320397824
279,320348672
280,320274944
281,320291328
282,320291328
283,320340480
284,320340480
285,320356864
286,320381440
287,320430592
288,320438784
289,320504320
290,320487936
291,320487936
292,320414208
293,320340480
294,320283136
295,320324096
296,320315904
297,320348672
298,320340480
299,320381440
300,320356864
301,320340480
302,320332288
303,320356864
304,320389632
305,320356864
306,320299520
307,320217600
308,320168448
309,320135680
310,320176640
311,320201216
312,320217600
313,320242176
314,320258560
315,320266752
316,320307712
317,320348672
318,320430592
319,320397824
320,320430592
321,320324096
322,320283136
323,320233984
324,320225792
325,320250368
326,320274944
327,320291328
328,320307712
329,320307712
330,320332288
331,320356864
332,320414208
333,320438784
334,320520704
335,320496128
336,320520704
337,320430592
338,320389632
339,320356864
340,320307712
341,320340480
342,320356864
343,320348672
344,320381440
345,320381440
346,320397824
347,320414208
348,320471552
349,320504320
350,320520704
351,320594432
352,320619008
353,320602624
354,320561664
355,320504320
356,320455168
357,320422400
358,320463360
359,320479744
360,320487936
361,320487936
362,320512512
363,320528896
364,320569856
365,320586240
366,320610816
367,320635392
368,320684544
369,320717312
370,320807424
371,320741888
372,320774656
373,320684544
374,320659968
375,320602624
376,320578048
377,320627200
378,320619008
379,320635392
380,320643584
381,320668160
382,320676352
383,320684544
384,320709120
385,320709120
386,320717312
387,320725504
388,320750080
389,320766464
390,320823808
391,320889344
392,320922112
393,321036800
394,320995840
395,321020416
396,320930304
397,320856576
398,320815616
399,320758272
400,320799232
401,320774656
402,320791040
403,320766464
404,320782848
405,320791040
406,320807424
407,320799232
408,320815616
409,320799232
410,320807424
411,320791040
412,320799232
413,320823808
414,320872960
415,320922112
416,320979456
417,321020416
418,321102336
419,321061376
420,321069568
421,320987648
422,320913920
423,320872960
424,320807424
425,320840192
426,320807424
427,320807424
428,320807424
429,320832000
430,320840192
431,320832000
432,320840192
433,320848384
434,320832000
435,320840192
436,320840192
437,320848384
438,320881152
439,320889344
440,320930304
441,320971264
442,321061376
443,321094144
444,321184256
445,321208832
446,321225216
447,321126912
448,321012224
449,320946688
450,320889344
451,320930304
452,320881152
453,320889344
454,320889344
455,320930304
456,320913920
457,320913920
458,320922112
459,320930304
460,320922112
461,320913920
462,320922112
463,320946688
464,320954880
465,320979456
466,320995840
467,320995840
468,321036800
469,321094144
470,321159680
471,321217024
472,321282560
473,321225216
474,321241600
475,321135104
476,321044992
477,321004032
478,320913920
479,320954880
480,320930304
481,320922112
482,320913920
483,320938496
484,320938496
485,320930304
486,320954880
487,320979456
488,320954880
489,320971264
490,320971264
491,321004032
492,321028608
493,321069568
494,321126912
495,321159680
496,321200640
497,321233408
498,321315328
499,321323520
500,321430016
501,321372672
502,321364480
503,321257984
504,321184256
505,321126912
506,321036800
507,321069568
508,321028608
509,321020416
510,321012224
511,321004032
512,321012224
513,321028608
514,321020416
515,321028608
516,321036800
517,321028608
518,321020416
519,321044992
520,321053184
521,321110528
522,321143296
523,321184256
524,321192448
525,321225216
526,321266176
527,321348096
528,321430016
529,321454592
530,321544704
531,321536512
532,321495552
533,321430016
534,321348096
535,321290752
536,321249792
537,321217024
538,321225216
539,321208832
540,321176064
541,321217024
542,321257984
543,321290752
544,321364480
545,321454592
546,321528320
547,321618432
548,321700352
549,321815040
550,321954304
551,322068992
552,322167296
553,322257408
554,322388480
555,322503168
556,322593280
557,322667008
558,322806272
559,322839040
560,322920960
561,322920960
562,322920960
563,322912768
564,322863616
565,322839040
566,322724352
567,322601472
568,322470400
569,322355712
570,322232832
571,322093568
572,321962496
573,321856000
574,321757696
575,321643008
576,321561088
577,321487360
578,321446400
579,321405440
580,321413632
581,321430016
582,321421824
583,321438208
584,321470976
585,321405440
586,321364480
587,321266176
588,321192448
589,321143296
590,321085952
591,321102336
592,321069568
593,321053184
594,321053184
595,321061376
596,321061376
597,321044992
598,321061376
599,321053184
600,321020416
601,321028608
602,321028608
603,321036800
604,321053184
605,321069568
606,321102336
607,321110528
608,321143296
609,321217024
610,321282560
611,321298944
612,321389056
613,321397248
614,321339904
615,321274368
616,321176064
617,321126912
618,321053184
619,321036800
620,321053184
621,321020416
622,321020416
623,321020416
624,321044992
625,321053184
626,321069568
627,321077760
628,321077760
629,321069568
630,321069568
631,321077760
632,321102336
633,321135104
634,321176064
635,321192448
636,321233408
637,321257984
638,321298944
639,321356288
640,321421824
641,321462784
642,321520128
643,321462784
644,321462784
645,321356288
646,321266176
647,321241600
648,321176064
649,321176064
650,321151488
651,321126912
652,321135104
653,321151488
654,321184256
655,321200640
656,321192448
657,321200640
658,321192448
659,321176064
660,321167872
661,321167872
662,321200640
663,321225216
664,321257984
665,321266176
666,321257984
667,321266176
668,321290752
669,321356288
670,321446400
671,321487360
672,321585664
673,321700352
674,321724928
675,321790464
676,321815040
677,321864192
678,321921536
679,322003456
680,322150912
681,322216448
682,322347520
683,322503168
684,322667008
685,322814464
686,322945536
687,323060224
688,323183104
689,323224064
690,323305984
691,323396096
692,323494400
693,323592704
694,323682816
695,323772928
696,323830272
697,323871232
698,323887616
699,323838464
700,323674624
701,323486208
702,323355136
703,323117568
704,322970112
705,322748928
706,322544128
707,322388480
708,322249216
709,322224640
710,322118144
711,322036224
712,321937920
713,321888768
714,321856000
715,321782272
716,321741312
717,321683968
718,321626624
719,321569280
720,321536512
721,321511936
722,321479168
723,321470976
724,321462784
725,321454592
726,321462784
727,321495552
728,321528320
729,321552896
730,321626624
731,321626624
732,321602048
733,321528320
734,321438208
735,321389056
736,321364480
737,321315328
738,321356288
739,321323520
740,321307136
741,321331712
742,321364480
743,321389056
744,321364480
745,321389056
746,321372672
747,321372672
748,321348096
749,321364480
750,321389056
751,321413632
752,321462784
753,321462784
754,321503744
755,321520128
756,321569280
757,321610240
758,321667584
759,321708544
760,321765888
761,321806848
762,321700352
763,321667584
764,321561088
765,321462784
766,321405440
767,321356288
768,321405440
769,321446400
770,321511936
771,321593856
772,321733120
773,321913344
774,322028032
775,322175488
776,322306560
777,322429440
778,322560512
779,322699776
780,322839040
781,323019264
782,323166720
783,323289600
784,323437056
785,323584512
786,323731968
787,323830272
788,323977728
789,324116992
790,324157952
791,324280832
792,324329984
793,324379136
794,324469248
795,324534784
796,324682240
797,324747776
798,324796928
799,324829696
800,324837888
801,324706816
802,324485632
803,324231680
804,323969536
805,323666432
806,323428864
807,323191296
808,322970112
809,322806272
810,322667008
811,322585088
812,322486784
813,322470400
814,322388480
815,322257408
816,322142720
817,322028032
818,321946112
819,321872384
820,321774080
821,321782272
822,321683968
823,321634816
824,321593856
825,321585664
826,321552896
827,321503744
828,321495552
829,321462784
830,321438208
831,321405440
832,321397248
833,321421824
834,321454592
835,321470976
836,321536512
837,321552896
838,321561088
839,321511936
840,321446400
841,321397248
842,321380864
843,321339904
844,321389056
845,321348096
846,321356288
847,321364480
848,321430016
849,321479168
850,321487360
851,321503744
852,321503744
853,321511936
854,321503744
855,321511936
856,321528320
857,321561088
858,321569280
859,321610240
860,321602048
861,321610240
862,321610240
863,321634816
864,321643008
865,321692160
866,321806848
867,321774080
868,321864192
869,321872384
870,321913344
871,321995264
872,322028032
873,322159104
874,322281984
875,322347520
876,322478592
877,322626048
878,322789888
879,322929152
880,323060224
881,323215872
882,323330560
883,323437056
884,323535360
885,323658240
886,323781120
887,323904000
888,324010496
889,324125184
890,324256256
891,324379136
892,324510208
893,324633088
894,324723200
895,324764160
896,324731392
897,324690432
