mod,raw,time
0,0,1690915015
0,-8572448,1690915015
0,0,1690915015
0,-8572448,1690915015
0,0,1690915015
0,-8572448,1690915015
0,-8572448,1690915015
0,-8572448,1690915015
-128239,-8700687,1690915015
-196271,-8768719,1690915015
-377536,-8949984,1690915015
-517593,-9090041,1690915015
-328730,-8901178,1690915015
-55526,-8627974,1690915015
-182956,-8755404,1690915015
-336671,-8909119,1690915015
-329647,-8902095,1690915015
273,-8572175,1690915015
12034,-8560414,1690915015
-62760,-8635208,1690915015
-180681,-8753129,1690915015
-311075,-8883523,1690915015
-472080,-9044528,1690915015
-776192,-9348640,1690915015
-836019,-9408467,1690915015
-930275,-9502723,1690915016
-1169154,-9741602,1690915016
-1125305,-9697753,1690915016
-1107190,-9679638,1690915016
-1311238,-9883686,1690915016
-1253358,-9825806,1690915016
-1251371,-9823819,1690915016
-1228583,-9801031,1690915016
-1179631,-9752079,1690915016
-1108693,-9681141,1690915016
-1127146,-9699594,1690915016
-974889,-9547337,1690915016
-853940,-9426388,1690915016
-849854,-9422302,1690915016
-800193,-9372641,1690915016
-777226,-9349674,1690915016
-733625,-9306073,1690915016
-654837,-9227285,1690915016
-532009,-9104457,1690915016
-394788,-8967236,1690915016
-446148,-9018596,1690915016
-590049,-9162497,1690915016
-706233,-9278681,1690915016
-667586,-9240034,1690915016
-710875,-9283323,1690915016
-665827,-9238275,1690915017
-666654,-9239102,1690915017
-580585,-9153033,1690915017
-404447,-8976895,1690915017
-390678,-8963126,1690915017
-340754,-8913202,1690915017
-394177,-8966625,1690915017
-399841,-8972289,1690915017
-460219,-9032667,1690915017
-512222,-9084670,1690915017
-467712,-9040160,1690915017
-582655,-9155103,1690915017
-596945,-9169393,1690915017
-645820,-9218268,1690915017
-659942,-9232390,1690915017
-707076,-9279524,1690915017
-715502,-9287950,1690915017
-788202,-9360650,1690915017
-581292,-9153740,1690915017
-265981,-8838429,1690915017
-318507,-8890955,1690915017
-1566749,-10139197,1690915017
-4057062,-12629510,1690915017
-6022404,-14594852,1690915017
-7210954,-15783402,1690915017
-7989754,-16562202,1690915018
-8118476,-16690924,1690915018
-7983130,-16555578,1690915018
-7994906,-16567354,1690915018
-7983335,-16555783,1690915018
-7871726,-16444174,1690915018
-7591343,-16163791,1690915018
-7269923,-15842371,1690915018
-6741755,-15314203,1690915018
-5776320,-14348768,1690915018
-5250594,-13823042,1690915018
-5046035,-13618483,1690915018
-5296121,-13868569,1690915018
-5305096,-13877544,1690915018
-5106929,-13679377,1690915018
-5185566,-13758014,1690915018
-5364712,-13937160,1690915018
-5238735,-13811183,1690915018
-4836326,-13408774,1690915018
-4463397,-13035845,1690915018
-4054731,-12627179,1690915018
-3732958,-12305406,1690915018
-3598831,-12171279,1690915019
-3458275,-12030723,1690915018
-3469521,-12041969,1690915019
-3290918,-11863366,1690915018
-3001128,-11573576,1690915019
-2029098,-10601546,1690915019
-996615,-9569063,1690915019
-311320,-8883768,1690915019
333049,333049,1690915019
1076732,1076732,1690915019
1139941,1139941,1690915019
1179835,1179835,1690915019
1710016,1710016,1690915019
2770944,2770944,1690915019
4138281,4138281,1690915019
6110732,6110732,1690915019
7144893,7144893,1690915019
6630375,6630375,1690915019
5994248,5994248,1690915019
5394196,5394196,1690915019
4794149,4794149,1690915019
4069111,4069111,1690915019
3288019,3288019,1690915019
2842560,2842560,1690915019
2837719,2837719,1690915019
3174900,3174900,1690915019
3297004,3297004,1690915019
2952702,2952702,1690915020
